epoch,train_loss,val_loss,lr,train_top_1_acc,train_top_2_acc,train_top_5_acc,train_mean_target_prob,train_min_target_prob,train_max_target_prob,train_logits_mean,train_logits_std,train_logits_min,train_logits_max,val_top_1_acc,val_top_2_acc,val_top_5_acc,val_mean_target_prob,val_min_target_prob,val_max_target_prob,val_logits_mean,val_logits_std,val_logits_min,val_logits_max
1,4.101774262431452,4.14093961527473,0.01,0.11654876076265787,0.2055745257895339,0.3939287989935792,0.023315514801940322,0.015427771075459791,0.0312032585305799,-0.5419891878451017,1.1806507863538303,-3.333022649775828,1.8636735778556304,0.11811260137650025,0.20370636402815687,0.3832521450679761,0.019307615229371012,0.014250599487038187,0.024364630981158184,-0.40828612668752357,0.8624980204971389,-2.595562084719006,1.3729395247314051
2,4.083183225999242,4.109873574031027,0.01,0.12003529008119987,0.20813305667652393,0.3977649615240087,0.023825596278530512,0.01571508318968768,0.03193610936913157,-0.5768668359457967,1.2128584132916782,-3.687516906001356,1.877695138270541,0.12128612660145485,0.2163090465058573,0.407647803998903,0.01979703725735474,0.01476765276631395,0.02482642174460604,-0.420103298289933,0.8838965433522045,-2.6689512537685607,1.322509301804635
3,4.03903491077233,4.079101731902675,0.01,0.13234760729981865,0.2233535379940203,0.4247226624405705,0.025675798037663046,0.016823224197708448,0.03452837187104543,-0.6104050223843371,1.2610461652542806,-3.919871788817047,1.931709305231632,0.13117237596479084,0.20452912982721919,0.3842446879366862,0.024362595915601717,0.016940747821441764,0.03178444400085883,-0.48332434977385785,1.0122444550659233,-2.6981084155279125,1.7044506640499715
4,4.023584981297338,4.0691037679973405,0.01,0.13726207786691064,0.23036254023232636,0.43306157792409367,0.02661445110648224,0.017369581437972993,0.03585932077645856,-0.6245107079957665,1.27056475936678,-3.829987104467218,1.9714072832508944,0.14440192762272924,0.2299695707252093,0.4141907510676366,0.02276810194692279,0.016465603147534588,0.029070600734263295,-0.4439049985252133,0.9606098508989278,-2.793042453331023,1.5155982119331735
5,4.0099747402723445,4.045461996605522,0.01,0.1420491120296698,0.23761334487885372,0.43612331922819286,0.027285335531006982,0.017767542227728597,0.036803128835659525,-0.6380626981301669,1.2911089654012204,-3.9062650488301993,1.9948574866845294,0.1416724347337765,0.22959083726214885,0.4060545114991315,0.025281385040934943,0.017608905488734613,0.03295386455864519,-0.47173999996734933,1.0147603962286937,-2.859289675342666,1.6913663739205043
1,4.097489826702993,3.884374144830202,0.005,0.1545117388533991,0.2530658258042381,0.44302449066283267,0.032094976532548836,0.020815419953275623,0.04337453311529776,-0.6406631103009052,1.4454776191091296,-4.3456988522299325,2.399999266066381,0.19455146204176516,0.2931135808595944,0.4792414882919121,0.038997047778820654,0.028247371999227517,0.04974672360475001,-0.5690974180905705,1.2120519043349294,-3.652795265284215,2.1069849924704234
2,3.871159914720098,3.7920037727606926,0.005,0.18618131913016486,0.29053539627820346,0.4814776087702387,0.04106078070097589,0.026844313820554657,0.055277247579910614,-0.6928036388684097,1.4336612862524916,-4.312210313209682,2.4081208861425165,0.221598255214115,0.3193245484582936,0.5025401261574225,0.05077712537113945,0.03407914499271171,0.06747510593950111,-0.6819439507712719,1.4308144978090962,-4.210900105756375,2.5165565315758025
3,3.817227432498108,3.740114070867237,0.005,0.2036760501249857,0.3106638129625696,0.500612675020831,0.045313923185682344,0.02942198151926363,0.061205864859185895,-0.7188867222601173,1.4760150876329505,-4.468228083848661,2.5190359660659727,0.23429235611393348,0.331026106489402,0.5148163142704157,0.05729754700687427,0.03850544447820425,0.07608964971958049,-0.7148306986880398,1.4884787938939223,-4.448070750807126,2.6958344389640625
4,3.776126505924618,3.705001859288467,0.005,0.21492966490760862,0.322963059780744,0.5114905157906775,0.04845747748218376,0.03158876800668229,0.06532618697091476,-0.7468728013901597,1.5101855626705278,-4.550993867378323,2.602000779628964,0.2420759817685547,0.33896644943908266,0.521254783142443,0.0630435493349359,0.0422839603945581,0.08380313845732305,-0.752347721588778,1.5516425469757344,-4.6346320144479805,2.8617348756196814
5,3.7488520684036306,3.6828261551104093,0.005,0.22283072197624454,0.3314326792687111,0.5186334896335386,0.051083112035265554,0.0333398539396028,0.06882637013640819,-0.767619817216066,1.526923022553078,-4.604951952237897,2.6546518467812095,0.2524062634678925,0.35373705449843934,0.5281503441250605,0.06646015408315246,0.04381423208888581,0.08910607559015306,-0.7750659575284362,1.5747170098168457,-4.691395087943392,2.9447495965619743
